YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,PE4,865,1033
2025-12,WEEKDAY,18,TRAIN,BP7,1279,3153
2025-12,WEEKENDS/HOLIDAY,16,TRAIN,CC7,2465,2831
2025-12,WEEKENDS/HOLIDAY,23,TRAIN,TE26,1181,1193
2025-12,WEEKDAY,0,TRAIN,DT29,118,1348
2025-12,WEEKDAY,6,TRAIN,NE16/STC,37386,16034
2025-12,WEEKDAY,19,TRAIN,EW19,17550,31549
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,TE16,4643,3876
2025-12,WEEKDAY,13,TRAIN,SW1,3765,4579
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,EW9,12826,10895
2025-12,WEEKDAY,11,TRAIN,TE16,8813,5833
2025-12,WEEKENDS/HOLIDAY,6,TRAIN,PW5,2482,302
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,PE1,225,43
2025-12,WEEKENDS/HOLIDAY,21,TRAIN,TE18,5233,2433
2025-12,WEEKDAY,6,TRAIN,CC23,433,11967
2025-12,WEEKENDS/HOLIDAY,18,TRAIN,NE10,7177,7789
2025-12,WEEKDAY,0,TRAIN,TE24,86,561
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,NE17/PTC,19223,24005
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,NS25/EW13,6684,23367
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,CG1/DT35,1375,5107
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,TE14/NS22,10594,51933
2025-12,WEEKDAY,5,TRAIN,TE23,99,14
2025-12,WEEKENDS/HOLIDAY,8,TRAIN,NE4/DT19,6374,14094
2025-12,WEEKDAY,0,TRAIN,DT31,164,1410
2025-12,WEEKENDS/HOLIDAY,6,TRAIN,NS8,7213,2292
2025-12,WEEKDAY,9,TRAIN,NE8,24187,31512
2025-12,WEEKENDS/HOLIDAY,12,TRAIN,PW5,1667,951
